title,imdb_id
Fifty Shades of Grey,tt2322441
The Devil Wears Prada,tt0458352
A Star Is Born,tt1517451
Fury,tt2713180
The Incredible Hulk,tt0800080
Kick-Ass,tt1250777
"I, Robot",tt0343818
No Country for Old Men,tt0477348
Rise of the Planet of the Apes,tt1318514
Ocean's Eleven,tt0240772
The Sixth Sense,tt0167404
Prisoners,tt1392214
American History X,tt0120586
The Conjuring,tt1457767
The Fault in Our Stars,tt2582846
The Notebook,tt0332280
12 Years a Slave,tt2024544
In Time,tt1637688
Aladdin,tt0103639
Green Book,tt6966692
Tangled,tt0398286
Cast Away,tt0162222
X-Men,tt0120903
Despicable Me 2,tt1690953
Kung Fu Panda,tt0441773
Transformers,tt0418279
Taken,tt0936501
Jurassic World: Fallen Kingdom,tt4881806
The Big Lebowski,tt0118715
Dawn of the Planet of the Apes,tt2103281
Fantastic Beasts: The Crimes of Grindelwald,tt4123430
Now You See Me 2,tt3110958
The Matrix Reloaded,tt0234215
Madagascar,tt0351283
The Theory of Everything,tt2980516
Nightcrawler,tt2872718
Fast & Furious 6,tt1905041
Oblivion,tt1483013
Bruce Almighty,tt0315327
Gran Torino,tt1205489
Furious 7,tt2820852
Minions,tt2293640
Casino Royale,tt0381061
The Fifth Element,tt0119116
Slumdog Millionaire,tt1010048
Monsters University,tt1453405
Limitless,tt1219289
Spectre,tt2379713
The Perks of Being a Wallflower,tt1659337
Jumanji,tt0113497
Avatar: The Way of Water,tt1630029
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771
X-Men Origins: Wolverine,tt0458525
American Psycho,tt0144084
The Hangover Part II,tt1411697
Sherlock Holmes: A Game of Shadows,tt1515091
The Fate of the Furious,tt4630562
John Wick: Chapter 3 - Parabellum,tt6146586
Kong: Skull Island,tt3731562
Men in Black 3,tt1409024
Maze Runner: The Scorch Trials,tt4046784
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),tt7713068
21 Jump Street,tt1232829
Looper,tt1276104
The Usual Suspects,tt0114814
Zodiac,tt0443706
Mr. & Mrs. Smith,tt0356910
Kingsman: The Golden Circle,tt4649466
Night at the Museum,tt0477347
Insurgent,tt2908446
A Beautiful Mind,tt0268978
Soul,tt2948372
Aladdin,tt6139732
Dune,tt1160419
"Three Billboards Outside Ebbing, Missouri",tt5027774
X2,tt0290334
